"","SEXO","EDAD_MADN","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"45",2,12,442,486,551,512,515,510,540,414,519,461,424,355,319,298,406,529,477,356,426,317,276,334,363,300,301,266,328,233,235,209,209,179,243,195,192,77,142,161
"46",2,13,841,938,1388,1146,1218,1257,1385,890,1023,1033,934,841,838,791,887,1147,1139,896,976,895,846,805,890,958,912,892,936,854,790,875,798,716,727,677,647,371,521,586
"47",2,14,2414,3170,4394,3918,4027,4213,4797,3105,3462,3690,3393,3275,3165,3262,3616,3862,3876,3787,3380,3496,3523,3535,3946,4229,4215,4225,4017,4008,4107,4103,3814,3592,3374,3211,3100,1926,2339,2576
"48",2,15,8215,9397,12554,11319,11792,12435,13060,10006,10588,11207,10621,10120,10336,10611,11352,11678,11591,11220,10791,10810,11219,10957,12115,12918,13058,13706,13242,12738,13269,13145,12346,11885,11236,10621,9877,6283,7700,7879
"49",2,16,19855,22068,26577,25222,25525,26842,28183,23333,24615,25405,24031,23876,23817,24619,26146,26413,25955,25542,24432,25073,25406,24860,27542,29062,29661,30729,29686,29723,29478,29107,27225,26372,25500,24008,21998,14446,16865,16803
"50",2,17,36151,38283,45777,42802,43812,46128,47666,41858,43037,44018,41567,40813,40847,41825,43523,44389,43434,42323,40929,42033,41618,40395,44705,45852,46733,47541,46274,46418,45960,44203,40781,39268,38620,36235,33229,22408,26809,24957
"51",2,18,57768,58051,64270,60607,61161,63893,65723,63784,64348,64275,60112,59175,57819,57831,60022,60820,59943,58947,56262,57478,57286,55236,59994,61606,62121,63445,65723,62843,63646,61586,54201,53254,52494,49668,47286,31072,37785,35380
"52",2,19,67659,68053,74809,69818,70788,73133,75528,74312,75053,75102,69987,68979,68505,67265,69927,70060,69435,68959,66632,66903,66989,64987,69537,69602,70182,72690,71299,72525,71212,70387,64102,59904,58489,55357,53770,38823,44355,41627
"53",2,20,80819,77858,82782,77710,77141,80440,81124,84044,85603,84971,79608,77270,76517,75599,76442,77352,75824,74192,72863,72546,71833,69738,74606,73921,73022,76340,75640,75079,75416,74107,69069,65553,61564,58394,56318,42850,49440,46083
"54",2,21,74723,75023,81886,75334,75815,78556,81201,80529,82252,84297,80761,79207,77871,76998,78808,77339,76683,74736,73329,74343,72333,70882,74998,75053,73437,75347,74101,74801,75379,74487,70065,67524,64219,59524,56863,42892,50489,47962
