"","SEXO","EDAD_MADN","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"53",2,22,51781,53167,53656,53890,53049,54083,52212,54632,52612,53339,51334,48901,48010,48100,48152,48182,44361,45485,42868,43250,43157,41881,44887,46580,46627,46988,47666,48967,48791,49144,48523,46100,44705,41154,38155,30399,30548,31759
"54",2,23,53005,54939,54709,56115,55143,54993,53541,53585,54677,53818,52470,50629,49706,49460,48729,49112,46164,44415,44132,43184,43279,43161,44521,45718,46084,47180,46266,46723,47613,47799,47121,46111,44574,42773,39187,30283,30289,30862
"55",2,24,50384,51138,52541,53897,53324,53368,50965,51669,50804,52100,49788,48480,48644,49493,48682,48196,46090,44839,42492,42899,41501,41630,44492,45283,44882,45078,45605,45437,44718,46026,45679,45423,44229,42576,40629,31121,29964,30863
"56",2,25,51272,48837,48038,49691,50259,50783,49264,48460,48582,48104,48118,45965,46290,47746,47911,47517,44718,43801,42112,41513,41348,40344,43114,44393,43492,43977,44681,44174,43684,43233,44589,43601,43146,41991,40192,32082,31131,30294
"57",2,26,42428,47757,44015,44423,44952,45714,45508,46021,44681,45027,43776,44028,43021,44524,45277,45990,43959,43064,41278,40712,39431,39744,41257,42374,43070,42533,43345,42547,42441,41604,41451,42330,41805,40716,39443,31771,31398,31172
"58",2,27,38914,39920,43454,41905,41173,42153,42075,42863,42421,42136,41596,40154,41472,41265,42811,44366,42447,41316,39648,39478,38823,37576,40211,40346,40505,41580,40975,40780,40285,40004,39733,39400,39638,38609,38210,30817,30738,31669
"59",2,28,38045,37667,37790,41614,39172,39287,38980,39757,39281,39670,38566,37897,37324,39581,39837,41333,40411,39789,38533,37688,37526,36791,37453,38722,38340,39170,39650,38880,38199,38304,37958,37510,36620,36850,35778,29822,29967,30634
"60",2,29,32209,33161,32995,34622,36900,35458,33948,34998,34888,35882,35171,34029,34817,34896,35837,37401,36921,36724,35890,35972,35462,34878,35995,35965,36355,36696,37474,36838,35875,35579,36093,35356,34716,34177,33971,28087,28347,29527
"61",2,30,34130,33933,34492,34024,33963,36310,33809,33578,33635,34204,33244,32646,31531,32727,33268,33939,33376,34051,33509,34282,33708,32787,33856,34446,33412,34147,34248,34330,34103,33524,33740,33223,32971,31990,31381,26502,26397,27860
"62",2,31,20722,22396,22297,23507,22979,23720,25983,25238,24253,25369,25944,25748,26599,26493,27431,28713,28390,28755,29089,29940,29938,29771,30320,31335,30542,30797,30910,30380,30239,30873,30417,30202,29980,29379,28944,23918,24733,25795
"63",2,32,22746,23862,24656,24376,24406,24006,23666,27348,25211,24806,24501,24318,24377,24798,24683,26246,25179,25915,25831,26536,26940,27018,28056,28124,27957,28044,28924,27626,27148,27807,27972,27380,26397,26635,26284,21876,22210,23761
"64",2,33,19150,19366,19962,20900,20190,20569,19854,20661,22525,21309,20501,20689,20796,21619,21897,22169,21810,21939,22062,22834,23348,23912,24887,25207,25209,25034,24549,24731,24457,24209,24739,24760,24187,23750,23248,19390,19405,20505
"65",2,34,16629,16712,16946,17583,17627,17374,17548,17337,17045,19526,17776,17231,17744,18032,18592,19041,18389,18695,18309,19327,19695,20156,21889,22221,22174,21767,21424,21494,21422,21559,21243,21277,21573,20889,20417,17174,17244,18422
"66",2,35,17982,16482,15586,15457,15492,16285,15213,15610,15055,15076,16408,15222,14710,15157,15631,16504,15741,15579,15835,16194,16691,16881,18255,19059,19224,18982,19204,18659,18599,18178,18581,18564,18809,18566,18209,15139,15507,16507
"67",2,36,13586,15414,13827,12968,12842,13173,13404,12822,12629,12362,12563,13511,12577,12633,12986,13347,13517,13155,13240,13365,13599,14066,15058,15905,16121,16511,15783,15758,15772,15678,15615,15694,15564,15549,15760,13085,12974,14031
"68",2,37,10775,10425,11972,10721,9846,10260,10124,10796,10355,10470,10118,10149,10763,10196,10286,11042,10446,10634,10520,10803,10778,10801,11717,12346,12696,13327,14068,13001,12900,12894,12908,12576,12754,12695,12981,10970,11011,11537
"69",2,38,11525,11258,10538,11076,10245,9370,9085,9210,9375,9000,8902,8544,8202,8957,8596,8772,8456,8598,8407,8590,8732,8827,9353,9557,9738,10379,12196,10833,10253,10651,10668,10286,10275,10314,10115,8769,8810,9242
"70",2,39,8141,8052,7695,7239,7900,7258,6624,6596,6547,6936,6595,6588,6115,6230,6778,6855,6355,6329,6227,6384,6671,6557,7101,7304,7459,7941,8513,8098,8127,8456,8109,8266,8000,7733,7931,6467,6926,7251
"71",2,40,7876,7445,7285,6719,6173,6538,5926,5614,5388,5405,5335,5173,5008,4675,4950,5114,4886,4757,4735,4813,4783,4968,5119,5308,5465,5538,5767,5859,5961,6116,6018,5871,5972,5928,5947,5027,5147,5535
"72",2,41,3354,3542,3318,3328,3054,3122,3437,3218,2952,3047,3097,3231,3186,3252,3051,3259,3379,3217,3060,3086,3236,3302,3364,3560,3705,3666,3819,3900,4066,4052,4102,4142,4103,4102,4104,3440,3562,3743
"73",2,42,3894,3828,3826,3592,3391,3310,2850,3461,3070,2768,2596,2697,2654,2518,2515,2496,2340,2495,2375,2181,2196,2215,2460,2461,2442,2496,2445,2624,2712,2738,2868,2774,2683,2743,2804,2253,2279,2540
"74",2,43,2865,2621,2600,2477,2285,2260,1919,1914,2040,1891,1795,1696,1661,1687,1580,1630,1485,1438,1507,1378,1409,1398,1467,1538,1456,1585,1576,1529,1554,1644,1686,1657,1695,1672,1668,1447,1466,1548
"75",2,44,1908,1912,1812,1748,1574,1299,1296,1318,1164,1389,1160,1093,1051,992,1092,1022,951,864,835,821,777,856,802,879,871,860,856,889,897,863,845,948,920,893,979,913,816,869
"76",2,45,1698,1498,1414,1275,1192,1140,996,983,817,748,870,722,649,663,608,610,575,538,472,486,501,464,476,441,485,490,473,463,430,501,455,519,532,524,546,450,438,464
"77",2,46,722,834,740,663,570,606,529,519,463,464,415,422,382,406,358,337,331,274,292,236,239,255,244,241,287,236,233,234,222,241,249,262,261,267,256,252,250,252
"78",2,47,467,451,533,429,390,366,304,337,299,258,242,227,227,264,215,195,183,181,157,133,157,124,137,122,131,141,120,106,114,112,131,134,118,144,105,130,115,113
"79",2,48,456,481,415,440,369,352,291,278,252,254,204,199,171,175,149,148,137,117,108,93,118,109,91,97,85,58,64,70,76,65,61,82,78,71,73,80,73,104
"80",2,49,250,235,243,198,246,168,130,155,135,156,124,109,99,96,101,103,83,72,66,80,77,59,52,42,60,52,63,44,41,37,39,47,50,55,42,51,38,52
"81",2,50,242,222,205,187,143,159,108,662,571,504,490,422,401,419,382,355,287,262,206,217,189,226,272,269,191,226,284,153,135,110,202,95,108,106,129,133,155,169
"82",2,99,4968,4057,3861,3930,3802,3644,3598,4663,4894,4484,4161,3763,4054,3973,3961,3151,3228,3775,2947,2759,3023,2604,2542,2336,4508,2204,3882,1691,1896,1489,1942,1269,1604,1179,1665,15711,19062,23928
